"시군구별","보험료분위별","가입자구분별","항목","단위","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년",
"대전","8분위","직장","평균보험료","원","108592","115036","118093","122253","125723","652587","138293",
"대전","8분위","직장","적용인구","명","117106","124869","122899","122034","123194","120957","119776",
"대전","8분위","근로자","가입자","명","31113","33254","34796","35863","37412","38924","40586",
"대전","8분위","근로자","평균보험료","원","108321","114544","117730","121962","125335","651047","137946",
"대전","8분위","근로자","적용인구","명","89266","95728","97015","96744","99075","99316","99126",
"대전","8분위","공교","가입자","명","9766","10188","9406","9265","9061","8587","8420",
"대전","8분위","공교","평균보험료","원","109454","116645","119438","123380","127324","660232","139966",
"대전","8분위","공교","적용인구","명","27840","29141","25884","25290","24119","21641","20650",
"대전","8분위","지역","세대수","세대","22332","22026","21366","21527","21346","20928","21232",
"대전","8분위","지역","평균보험료","원","123518","126713","132806","139416","144253","644222","134649",
"대전","8분위","지역","적용인구","명","55060","53372","50104","49885","48347","43516","43126",
"대전","9분위","계","세대수","세대","69664","70898","70639","71943","72096","72603","74407",
"대전","9분위","계","평균보험료","원","151918","158469","163161","168845","173773","880411","184958",
"대전","9분위","계","적용인구","명","220030","219958","213921","212538","208038","200831","198480",
"대전","9분위","직장","가입자","명","46445","47278","47798","49624","50005","50496","51773",
"대전","9분위","직장","평균보험료","원","146036","153758","157385","162661","167511","868080","183127",
"대전","9분위","직장","적용인구","명","158688","158743","156583","157554","154833","151454","149378",
"대전","9분위","근로자","가입자","명","30559","30600","31437","33497","34441","34928","36320",
"대전","9분위","근로자","평균보험료","원","145969","153428","156907","162151","166797","863567","182107",
"대전","9분위","근로자","적용인구","명","104137","102332","102787","105500","105681","104400","103647",
"대전","9분위","공교","가입자","명","15886","16678","16361","16127","15564","15568","15453",
"대전","9분위","공교","평균보험료","원","146166","154363","158304","163720","169092","879294","185525",
"대전","9분위","공교","적용인구","명","54551","56411","53796","52054","49152","47054","45731",
"대전","9분위","지역","세대수","세대","23219","23620","22841","22319","22091","22107","22634",
"대전","9분위","지역","평균보험료","원","163683","167898","175247","182594","187948","905023","189147",
"대전","9분위","지역","적용인구","명","61342","61215","57338","54984","53205","49377","49102",
"대전","10분위","계","세대수","세대","66189","67364","67531","69352","69810","69866","70645",
"대전","10분위","계","평균보험료","원","248261","267261","264760","274717","284024","1483558","318226",
"대전","10분위","계","적용인구","명","225425","224169","223532","225535","223684","215241","211864",
"대전","10분위","직장","가입자","명","46137","47491","48053","50416","51278","50863","51122",
"대전","10분위","직장","평균보험료","원","246975","270473","263004","273198","283133","1450842","316098",
"대전","10분위","직장","적용인구","명","170243","170490","171789","175918","175768","168311","165040",
"대전","10분위","근로자","가입자","명","36805","37956","37593","39749","39946","39470","40201",
"대전","10분위","근로자","평균보험료","원","257228","283454","275010","285691","297043","1524364","332142",
"대전","10분위","근로자","적용인구","명","138829","139385","137285","141284","139493","132743","131768",
"대전","10분위","공교","가입자","명","9332","9535","10460","10667","11332","11393","10921",
"대전","10분위","공교","평균보험료","원","206537","218799","219854","226645","234099","1189990","257041",
"대전","10분위","공교","적용인구","명","31414","31105","34504","34634","36275","35568","33272",
"대전","10분위","지역","세대수","세대","20052","19873","19478","18936","18532","19003","19523",
"대전","10분위","지역","평균보험료","원","251220","259584","269091","278761","286489","1546493","323796",
"대전","10분위","지역","적용인구","명","55182","53679","51743","49617","47916","46930","46824",
"동구","계","계","세대수","세대","102126","101944","100605","99796","100472","103838","106547",
"동구","계","계","평균보험료","원","70389","73003","75492","79284","81143","79732","86125",
"동구","계","계","적용인구","명","223615","220403","212060","206621","203669","202471","201207",
"동구","계","직장","가입자","명","61523","62316","62722","62891","63775","65896","68255",
"동구","계","직장","평균보험료","원","69091","72881","74585","78667","81199","85699","92823",
"동구","계","직장","적용인구","명","144489","144434","140897","138178","136988","135991","136025",
"동구","계","근로자","가입자","명","56687","57542","58092","58368","59303","61393","63672",
"동구","계","근로자","평균보험료","원","65395","68828","70481","74565","77028","81606","88860",
"동구","계","근로자","적용인구","명","131038","131165","128259","126073","125248","124769","125074",
"동구","계","공교","가입자","명","4836","4774","4630","4523","4472","4503","4583",
"동구","계","공교","평균보험료","원","112407","121731","126075","131601","136505","141510","147876",
"동구","계","공교","적용인구","명","13451","13269","12638","12105","11740","11222","10951",
"동구","계","지역","세대수","세대","40603","39628","37883","36905","36697","37942","38292",
"동구","계","지역","평균보험료","원","72357","73195","76993","80335","81047","69369","74185",
"동구","계","지역","적용인구","명","79126","75969","71163","68443","66681","66480","65182",
"동구","1분위","계","세대수","세대","12027","12061","11893","11788","11964","12715","12623",
"동구","1분위","계","평균보험료","원","17665","18062","19096","19865","20342","21504","23319",
"동구","1분위","계","적용인구","명","20114","19966","19012","18459","18562","19545","18866",
"동구","1분위","직장","가입자","명","7980","8249","8229","8146","8281","8522","8285",
"동구","1분위","직장","평균보험료","원","23729","23910","25036","26062","26748","28680","31363",
"동구","1분위","직장","적용인구","명","15659","15716","14900","14423","14474","14332","13368",
"동구","1분위","근로자","가입자","명","7957","8227","8212","8129","8266","8497","8275",
"동구","1분위","근로자","평균보험료","원","23725","23905","25038","26053","26737","28663","31357",
"동구","1분위","근로자","적용인구","명","15622","15688","14878","14388","14450","14294","13354",
"동구","1분위","공교","가입자","명","23","22","17","17","15","25","10",
"동구","1분위","공교","평균보험료","원","24982","25684","24201","30338","32986","34499","36517",
"동구","1분위","공교","적용인구","명","37","28","22","35","24","38","14",
"동구","1분위","지역","세대수","세대","4047","3812","3664","3642","3683","4193","4338",
"동구","1분위","지역","평균보험료","원","5707","5406","5756","6006","5939","6921","7955",
"동구","1분위","지역","적용인구","명","4455","4250","4112","4036","4088","5213","5498",
"동구","2분위","계","세대수","세대","12255","12506","12311","12492","12459","12169","13643",
"동구","2분위","계","평균보험료","원","25814","26936","28622","30477","31662","35511","37138",
"동구","2분위","계","적용인구","명","20971","20946","20183","20268","19817","19395","20889",
"동구","2분위","직장","가입자","명","7965","8145","8074","8231","8242","8318","8339",
"동구","2분위","직장","평균보험료","원","32607","34448","36602","38963","40901","46496","52397",
"동구","2분위","직장","적용인구","명","15721","15674","15062","15109","14718","14238","13929",
"동구","2분위","근로자","가입자","명","7901","8079","8026","8167","8164","8219","8235",
"동구","2분위","근로자","평균보험료","원","32605","34443","36598","38960","40902","46489","52391",
"동구","2분위","근로자","적용인구","명","15629","15567","14982","15001","14610","14105","13785",
"동구","2분위","공교","가입자","명","64","66","48","64","78","99","104",
"동구","2분위","공교","평균보험료","원","32850","35094","37349","39446","40799","47087","52912",
"동구","2분위","공교","적용인구","명","92","107","80","108","108","133","144",
"동구","2분위","지역","세대수","세대","4290","4361","4237","4261","4217","3851","5304",
"동구","2분위","지역","평균보험료","원","13201","12906","13415","14084","13606","11785","13147",
"동구","2분위","지역","적용인구","명","5250","5272","5121","5159","5099","5157","6960",
"동구","3분위","계","세대수","세대","12373","12606","12548","12140","13090","15279","15097",
"동구","3분위","계","평균보험료","원","31802","33116","34893","36823","37455","34844","41267",
"동구","3분위","계","적용인구","명","20878","21084","20535","19621","20284","23581","23168",
"동구","3분위","직장","가입자","명","7450","7645","7779","7588","7880","8372","9149",
"동구","3분위","직장","평균보험료","원","39678","41726","43635","45857","48069","52756","58806",
"동구","3분위","직장","적용인구","명","14314","14598","14304","13554","13611","14155","15066",
"동구","3분위","근로자","가입자","명","7263","7518","7651","7478","7794","8260","9046",
"동구","3분위","근로자","평균보험료","원","39690","41723","43634","45859","48072","52754","58807",
"동구","3분위","근로자","적용인구","명","13987","14389","14093","13401","13483","13973","14926",
"동구","3분위","공교","가입자","명","187","127","128","110","86","112","103",
"동구","3분위","공교","평균보험료","원","39198","41872","43655","45717","47821","52902","58717",
"동구","3분위","공교","적용인구","명","327","209","211","153","128","182","140",
"동구","3분위","지역","세대수","세대","4923","4961","4769","4552","5210","6907","5948",
"동구","3분위","지역","평균보험료","원","19884","19849","20634","21763","21401","13132","14289",
"동구","3분위","지역","적용인구","명","6564","6486","6231","6067","6673","9426","8102",
"동구","4분위","계","세대수","세대","10889","10914","10963","10646","10461","10236","11015",
"동구","4분위","계","평균보험료","원","41763","43218","45612","48101","50210","48811","54618",
"동구","4분위","계","적용인구","명","20863","20631","19872","19059","18601","17432","18134",
"동구","4분위","직장","가입자","명","6957","6970","7221","7046","7062","7215","7788",
"동구","4분위","직장","평균보험료","원","47615","49983","52034","54507","56961","60505","66315",
"동구","4분위","직장","적용인구","명","13805","13706","13507","13007","12724","12457","12950",
"동구","4분위","근로자","가입자","명","6781","6837","7060","6908","6928","7069","7589",
"동구","4분위","근로자","평균보험료","원","47619","49985","52027","54493","56944","60487","66312",
"동구","4분위","근로자","적용인구","명","13514","13498","13247","12797","12517","12237","12672",
"동구","4분위","공교","가입자","명","176","133","161","138","134","146","199",
"동구","4분위","공교","평균보험료","원","47445","49931","52347","55211","57845","61384","66456",
"동구","4분위","공교","적용인구","명","291","208","260","210","207","220","278",
"동구","4분위","지역","세대수","세대","3932","3944","3742","3600","3399","3021","3227",
"동구","4분위","지역","평균보험료","원","31410","31262","33218","35563","36185","20880","26387",
"동구","4분위","지역","적용인구","명","7058","6925","6365","6052","5877","4975","5184",
"동구","5분위","계","세대수","세대","11081","10963","10652","10660","10585","10753","10855",
"동구","5분위","계","평균보험료","원","53028","55093","57622","60604","63141","59224","66247",
"동구","5분위","계","적용인구","명","22467","22218","21171","20851","20159","19522","19168",
"동구","5분위","직장","가입자","명","6567","6583","6374","6411","6526","6854","6941",
"동구","5분위","직장","평균보험료","원","57060","60194","62277","64762","67262","71299","77359",
"동구","5분위","직장","적용인구","명","13976","13909","12967","12766","12530","12491","12330",
"동구","5분위","근로자","가입자","명","6351","6388","6195","6211","6331","6684","6707",
"동구","5분위","근로자","평균보험료","원","57064","60177","62280","64739","67252","71270","77331",
"동구","5분위","근로자","적용인구","명","13560","13553","12656","12449","12242","12225","11979",
"동구","5분위","공교","가입자","명","216","195","179","200","195","170","234",
"동구","5분위","공교","평균보험료","원","56929","60739","62184","65488","67592","72451","78148",
"동구","5분위","공교","적용인구","명","416","356","311","317","288","266","351",
"동구","5분위","지역","세대수","세대","4514","4380","4278","4249","4059","3899","3914",
"동구","5분위","지역","평균보험료","원","47162","47426","50687","54329","56515","37996","46543",
"동구","5분위","지역","적용인구","명","8491","8309","8204","8085","7629","7031","6838",
"동구","6분위","계","세대수","세대","10338","10371","10107","9905","9886","10296","10492",
"동구","6분위","계","평균보험료","원","68761","71600","74778","78265","80984","76861","84959",
"동구","6분위","계","적용인구","명","23412","23502","21912","20982","20614","20183","20092",
"동구","6분위","직장","가입자","명","5960","5993","6204","6225","6282","6345","6556",
"동구","6분위","직장","평균보험료","원","69405","73292","75629","78459","81033","85024","91317",
"동구","6분위","직장","적용인구","명","13618","13836","13673","13441","13284","12823","12689",
"동구","6분위","근로자","가입자","명","5485","5551","5820","5843","5886","5937","6162",
"동구","6분위","근로자","평균보험료","원","69342","73219","75544","78371","80997","84992","91316",
"동구","6분위","근로자","적용인구","명","12708","12985","12991","12759","12599","12167","12075",
"동구","6분위","공교","가입자","명","475","442","384","382","396","408","394",
"동구","6분위","공교","평균보험료","원","70138","74212","76913","79802","81575","85482","91331",
"동구","6분위","공교","적용인구","명","910","851","682","682","685","656","614",
"동구","6분위","지역","세대수","세대","4378","4378","3903","3680","3604","3951","3936",
"동구","6분위","지역","평균보험료","원","67883","69285","73425","77938","80899","63753","74370",
"동구","6분위","지역","적용인구","명","9794","9666","8239","7541","7330","7360","7403",
"동구","7분위","계","세대수","세대","9786","9554","9451","9369","9382","9474","8989",
"동구","7분위","계","평균보험료","원","88478","92127","95770","99667","102895","99758","108086",
"동구","7분위","계","적용인구","명","24440","23607","22899","21831","21406","20870","18886",
"동구","7분위","직장","가입자","명","5620","5748","5769","5774","5870","6135","6370",
"동구","7분위","직장","평균보험료","원","85891","90605","93411","96586","99327","103466","110430",
"동구","7분위","직장","적용인구","명","14525","14800","14600","13869","13861","13982","13953",
"동구","7분위","근로자","가입자","명","4825","4965","5073","5096","5204","5523","5712",
"동구","7분위","근로자","평균보험료","원","85838","90461","93251","96524","99149","103405","110401",
"동구","7분위","근로자","적용인구","명","12742","13048","13086","12425","12519","12850","12773",
"동구","7분위","공교","가입자","명","795","783","696","678","666","612","658",
"동구","7분위","공교","평균보험료","원","86213","91517","94581","97047","100718","104014","110689",
"동구","7분위","공교","적용인구","명","1783","1752","1514","1444","1342","1132","1180",
"동구","7분위","지역","세대수","세대","4166","3806","3682","3595","3512","3339","2619",
"동구","7분위","지역","평균보험료","원","91968","94425","99464","104616","108857","92947","102385",
"동구","7분위","지역","적용인구","명","9915","8807","8299","7962","7545","6888","4933",
"동구","8분위","계","세대수","세대","9748","9554","9394","9259","9297","9371","9794",
"동구","8분위","계","평균보험료","원","114428","119225","123325","128374","132181","129767","136640",
"동구","8분위","계","적용인구","명","27233","26659","25449","24385","24324","23259","23156",
"동구","8분위","직장","가입자","명","5709","5709","5716","5697","5847","6140","6507",
"동구","8분위","직장","평균보험료","원","108291","114447","117489","121598","125219","130399","137944",
"동구","8분위","직장","적용인구","명","16969","16993","16599","15956","16250","16265","16303",
"동구","8분위","근로자","가입자","명","4649","4602","4625","4696","4868","5148","5537",
"동구","8분위","근로자","평균보험료","원","108140","114136","117279","121370","124985","130156","137615",
"동구","8분위","근로자","적용인구","명","13870","13780","13571","13216","13596","13698","13889",
"동구","8분위","공교","가입자","명","1060","1107","1091","1001","979","992","970",
"동구","8분위","공교","평균보험료","원","108955","115736","118379","122665","126385","131657","139821",
"동구","8분위","공교","적용인구","명","3099","3213","3028","2740","2654","2567","2414",
"동구","8분위","지역","세대수","세대","4039","3845","3678","3562","3450","3231","3287",
"동구","8분위","지역","평균보험료","원","123103","126321","132394","139211","143981","128567","134057",
"동구","8분위","지역","적용인구","명","10264","9666","8850","8429","8074","6994","6853",
"동구","9분위","계","세대수","세대","8267","8128","8046","8130","7986","8279","8515",
"동구","9분위","계","평균보험료","원","152880","158874","163964","169708","174497","175659","184417",
"동구","9분위","계","적용인구","명","26077","25387","24713","24428","23424","23162","23119",
"동구","9분위","직장","가입자","명","4549","4506","4618","4794","4760","5005","5211",
"동구","9분위","직장","평균보험료","원","144503","152266","155972","161317","165928","172476","181693",
"동구","9분위","직장","적용인구","명","16013","15691","15742","15858","15333","15576","15706",
"동구","9분위","근로자","가입자","명","3279","3129","3250","3445","3460","3705","3918",
"동구","9분위","근로자","평균보험료","원","144387","151859","155461","160569","165022","171457","180609",
"동구","9분위","근로자","적용인구","명","11404","10806","11031","11353","11081","11566","11789",
"동구","9분위","공교","가입자","명","1270","1377","1368","1349","1300","1300","1293",
"동구","9분위","공교","평균보험료","원","144804","153191","157186","163227","168337","175381","184979",
"동구","9분위","공교","적용인구","명","4609","4885","4711","4505","4252","4010","3917",
"동구","9분위","지역","세대수","세대","3718","3622","3428","3336","3226","3274","3304",
"동구","9분위","지역","평균보험료","원","163130","167094","174731","181765","187142","180524","188712",
"동구","9분위","지역","적용인구","명","10064","9696","8971","8570","8091","7586","7413",
"동구","10분위","계","세대수","세대","5362","5287","5240","5407","5362","5266","5524",
"동구","10분위","계","평균보험료","원","236469","253683","252872","261662","269024","284474","300511",
"동구","10분위","계","적용인구","명","17160","16403","16314","16737","16478","15522","15729",
"동구","10분위","직장","가입자","명","2766","2768","2738","2979","3025","2990","3109",
"동구","10분위","직장","평균보험료","원","227074","253133","242699","253444","259761","271250","289765",
"동구","10분위","직장","적용인구","명","9889","9511","9543","10195","10203","9672","9731",
"동구","10분위","근로자","가입자","명","2196","2246","2180","2395","2402","2351","2491",
"동구","10분위","근로자","평균보험료","원","235150","262572","251229","262142","268942","282295","301169",
"동구","10분위","근로자","적용인구","명","8002","7851","7724","8284","8151","7654","7832",
"동구","10분위","공교","가입자","명","570","522","558","584","623","639","618",
"동구","10분위","공교","평균보험료","원","195962","212518","209374","217775","224364","230613","243800",
"동구","10분위","공교","적용인구","명","1887","1660","1819","1911","2052","2018","1899",
"동구","10분위","지역","세대수","세대","2596","2519","2502","2428","2337","2276","2415",
"동구","10분위","지역","평균보험료","원","246478","254288","264004","271745","281014","301846","314345",
"동구","10분위","지역","적용인구","명","7271","6892","6771","6542","6275","5850","5998",
"중구","계","계","세대수","세대","108052","109292","108543","108998","110607","112385","114779",
"중구","계","계","평균보험료","원","78913","82385","84161","87639","89727","89358","95553",
"중구","계","계","적용인구","명","240735","240161","232807","229232","227229","222123","219155",
"중구","계","직장","가입자","명","67314","69329","69955","70685","72095","72861","75013",
"중구","계","직장","평균보험료","원","78173","82760","83637","87631","90578","95352","101986",
"중구","계","직장","적용인구","명","161136","163155","159835","157705","157091","152638","151025",
"중구","계","근로자","가입자","명","60214","62340","63166","64021","65532","66420","68573",
"중구","계","근로자","평균보험료","원","72971","77237","77833","81857","84768","89657","96498",
"중구","계","근로자","적용인구","명","140738","143041","140620","139237","139143","135956","134946",
"중구","계","공교","가입자","명","7100","6989","6789","6664","6563","6441","6440",
"중구","계","공교","평균보험료","원","122293","132021","137634","143102","148588","154083","160422",
"중구","계","공교","적용인구","명","20398","20114","19215","18468","17948","16682","16079",
"중구","계","지역","세대수","세대","40738","39963","38588","38313","38512","39524","39766",
"중구","계","지역","평균보험료","원","80136","81736","85111","87653","88134","78309","83418",
"중구","계","지역","적용인구","명","79599","77006","72972","71527","70138","69485","68130",
"중구","1분위","계","세대수","세대","12814","12817","12800","12736","12932","13510","13464",
"중구","1분위","계","평균보험료","원","18140","18462","19613","20104","20711","21611","23676",
"중구","1분위","계","적용인구","명","21351","21226","20652","20012","20132","20595","20067",
"중구","1분위","직장","가입자","명","8886","9056","9150","9029","9203","9287","9194",
"중구","1분위","직장","평균보험료","원","23684","23810","25008","25838","26637","28308","30979",
